許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派01-301071,株式会社　札幌ＵＴ,株式会社　札幌ＵＴ,北海道札幌市清田区平岡1条1丁目3-7　菊地ＢＬＤ　１Ｆ,011-885-8940,,,
派01-301072,昭和建設　株式会社,昭和建設　株式会社,北海道室蘭市茶津町2番地3  ,0143-22-2750,,,
派01-301073,太平電気　株式会社,太平電気　株式会社,北海道室蘭市御前水町一丁目6番30号,0143-23-1188,,,
派01-301074,室蘭計量　株式会社,室蘭計量　株式会社,北海道室蘭市茶津町2番地1　日鋼構内,0143-22-8121,1人,1件,
派01-301078,株式会社　十勝物流,株式会社　十勝物流,北海道帯広市西二十三条南三丁目21番地1　コウキビル1F ,0155-38-2142,0人,0件,食品・製品等の入庫、食品・製品等の出荷、各種ピッキング
派01-301079,スモール．ソフト．サッポロ　株式会社,スモール．ソフト．サッポロ　株式会社,北海道札幌市西区二十四軒四条三丁目4番35号　カルチェドサッポロ701,011-557-3807,,,
派01-301080,株式会社　Ｉ・ＴＥＣソリューションズ,株式会社　Ｉ・ＴＥＣソリューションズ,北海道苫小牧市表町一丁目1番11号,0144-38-2611,,,
派01-301081,有限会社　イー・フロント,有限会社　イー・フロント,北海道登別市新生町1丁目10番地2,0143-87-3557,,,
派01-301082,株式会社　田上組,株式会社　田上組,北海道室蘭市茶津町4番地,0143-22-8131,,,
派01-301083,株式会社　道友エージェンシー,株式会社　道友エージェンシー,北海道札幌市中央区南1条西10丁目3番地　南一条道銀ビル2階,011-261-7010,,,
派01-301084,株式会社　アテリナシステム,株式会社　アテリナシステム,北海道室蘭市高砂町4丁目33番6号,0143-84-6011,10人,1件,
派01-301085,葛西　美紀,AKテック,北海道滝川市幸町4丁目5番4号　ＰＡＳＴＥＲＵ101号室,0125-22-3330,,1件,
派01-301086,株式会社　スクデット・ソフトウェア,株式会社　スクデット・ソフトウェア,北海道札幌市中央区北四条東一丁目3番1　パシフィックタワー札幌507　,011-596-7970,,,ECU（組込）、アプリ開発、AWS
派01-301087,株式会社　ＨＡＴ,株式会社　ＨＡＴ,北海道札幌市中央区南一条西七丁目12番地6　パークアベニュービル9階,011-209-3932,2人,2件,
派01-301088,株式会社 北海道ジェイ･アール･システム開発,株式会社 北海道ジェイ･アール･システム開発,北海道札幌市東区北六条東四丁目1番地4　NE6･4ﾋﾞﾙ7階,011-751-1000,,,
派01-301089,株式会社　システムファクト,株式会社　システムファクト,北海道札幌市中央区北1条東2丁目5番6号　HIS北1条ビル1階,011-261-7600,,,
派01-301090,北海電気工事　株式会社,北海電気工事　株式会社,北海道札幌市白石区菊水2条1丁目8番21号,011-811-9411,831人,2件,
派01-301091,株式会社　グローバルフレーム,株式会社　グローバルフレーム　中央事務所,北海道札幌市中央区南2条西12丁目323番地　212ビル4Ｆ ,011-209-0788,,,
派01-301092,サン総合管理　株式会社,サン総合管理　株式会社,北海道札幌市中央区南七条西五丁目289番地54,011-531-5547,2人,1件,清掃、ボイラー
派01-301093,モス物流プランニング　株式会社,MOS物流プランニング　株式会社　おしごとセンター,北海道札幌市豊平区月寒東1条20丁目4番19号　MOSビルディング2F,011-857-1000,,,
派01-301095,株式会社　アイテス,株式会社　アイテス,北海道札幌市西区発寒十四条四丁目3番10号　北海電工札幌支店　3階,011-668-0061,,,
派01-301096,株式会社　Ｔ・Ｋ,株式会社　Ｔ・Ｋ,北海道岩内郡岩内町字野束272番地,0135-63-2009,2人,2件,
派01-301098,北海道川崎建機　株式会社　,北海道川崎建機　株式会社,北海道北広島市大曲中央1丁目2-2,011-376-2575,,,
派01-301099,株式会社　大石建設,株式会社　大石建設,北海道札幌市白石区米里3条2丁目8番23号,011-874-5880,,,
派01-301100,札幌定温運輸　株式会社,札幌定温運輸　株式会社,北海道札幌市西区発寒14条14丁目1番17号,011-664-1471,,,
派01-301101,アクティブ　株式会社,アクティブ　株式会社,北海道札幌市中央区南8条西4丁目422番地5　グランドパークビル4階,011-520-6388,,,
派01-301103,株式会社　アイプラス,株式会社　アイプラス,北海道札幌市白石区流通センター五丁目1番1号,011-862-3666,63人,6件,倉庫内ピッキング
派01-301105,株式会社　クーゲライズ設計事務所,株式会社　クーゲライズ設計事務所,北海道札幌市中央区北7条西25丁目2番10号,011-644-0880,9人,7件,建築設計、建築施工図
派01-301106,株式会社　カズサッポロ,株式会社　カズサッポロ,北海道札幌市豊平区月寒東一条一丁目7番19号,011-853-5152,,,
派01-301108,株式会社　ＡＲＣＬＡＳＳ,株式会社　ＡＲＣＬＡＳＳ,北海道札幌市豊平区月寒東五条十六丁目4番14号,011-856-3888,2人,2件,建設業
派01-301109,北海定温運輸　株式会社,北海定温運輸　株式会社,北海道小樽市銭函5丁目12番地8,0133-75-2200,,,
派01-301110,株式会社　ドリーム,株式会社　ドリーム,北海道江別市工栄町8番地11　ニホンフラッシュ（株）敷地内倉庫2F,011-381-3299,,,
派01-301111,株式会社　北日本重量,株式会社　北日本重量,北海道旭川市永山北2条8丁目9番地6,0166-48-9990,8人,23件,
派01-301113,株式会社　本田組,株式会社　本田組,北海道釧路市鳥取大通8丁目4番20号,0154-51-2821,,,
派01-301114,株式会社　井内鉄工,株式会社　井内鉄工,北海道室蘭市茶津町4番地,0143-22-3432,,,
派01-301115,株式会社　ノーステレビスタッフ,株式会社　ノーステレビスタッフ,北海道札幌市中央区北4条西12丁目1番地35,011-281-2490,5人,1件,テレビ番組制作
派01-301116,株式会社　ジェイパワーシステム,株式会社　ジェイパワーシステム　苫小牧事務所,北海道苫小牧市有珠の沢町4丁目16番23号　2階,0144-82-8504,14人,3件,
派01-301117,株式会社　マイクロネット,株式会社　マイクロネット,北海道札幌市中央区南四条西七丁目6番地　ビッググループ本社ビル4階,011-561-1370,,,
派01-301118,株式会社　キャリアソリューション,株式会社　キャリアソリューション,北海道札幌市東区北11条東1丁目1番40号　SAKURA-N11　D室,011-299-5471,,,
派01-301120,望星設備工業　株式会社,望星設備工業　株式会社,北海道札幌市白石区東札幌2条5丁目2番1号　山忠ビル1F,011-824-3421,2人,7件,
派01-301122,株式会社　佐藤電機,株式会社　佐藤電機,北海道苫小牧市のぞみ町3丁目19－25,0144-68-2311,,,
派01-301123,オブジェクト有限会社,オブジェクト　有限会社,北海道札幌市厚別区厚別西三条二丁目5番17号,011-398-4476,,,
派01-301124,北札幌電設　株式会社,北札幌電設　株式会社,北海道札幌市東区北23条東1丁目12番7号,011-731-4211,,,
派01-301125,うえてつ　株式会社,うえてつ　株式会社,北海道札幌市東区北九条東二丁目3番20号,011-711-1370,1人,1件,
派01-301126,株式会社　拓美組,株式会社　拓美組,北海道旭川市永山7条17丁目4番18号,0166-49-1877,2人,2件,
派01-301128,有限会社　トータルエキスパート,有限会社　トータルエキスパート,北海道札幌市北区屯田11条1丁目7番10号　レスポワールＳ・Ｋ,011-776-3366,,,
派01-301129,株式会社　シスコ・ワーク,株式会社　シスコ・ワーク,北海道札幌市白石区南郷通十八丁目北7番17号　谷口ビル2階,011-867-1888,8人,1件,物流ピッキング
派01-301130,ジャスティン　株式会社,ジャスティン　株式会社　,北海道札幌市中央区大通西18丁目1番26号　山京大通ビル別館302号,011-215-9812,,,
派01-301131,株式会社　インプリメント,株式会社　インプリメント,北海道札幌市中央区北2条西14丁目3番地11　第三住販ビル4階,011-219-5126,,,
派01-301132,有限会社　堀建工業,有限会社　堀建工業,北海道苫小牧市拓勇西町3丁目12番25号,0144-57-1848,,,
派01-301133,株式会社　北央技研,株式会社　北央技研,北海道室蘭市港北町一丁目3番15号,0143-58-1122,,,
派01-301134,株式会社　レプラス,株式会社　レプラス,北海道苫小牧市明野新町二丁目3番9号,0144-84-3902,,,
派01-301137,上磯興業　株式会社,上磯興業　株式会社,北海道北斗市谷好1丁目151番地,0138-73-4460,15人,3件,
派01-301138,株式会社　ワークボックス,株式会社　ワークボックス　札幌支店,北海道札幌市北区北三十四条西四丁目2番26号　N34BLDG　2F,011-398-4606,,,
派01-301139,エヌ・シー・エーインターナショナル　株式会社,エヌ・シー・エーインターナショナル　株式会社,北海道苫小牧市日新町五丁目1番7号,0144-73-2607,,,
派01-301140,安藤設備工業　株式会社,安藤設備工業　株式会社,北海道札幌市東区伏古8条2丁目4番10号,011-782-7755,1人,1件,ダクト工事
派01-301141,株式会社　キャスト,株式会社　キャスト,北海道千歳市美々　新千歳空港内ケータリングビル2階,0123-46-2677,,,
派01-301143,株式会社　ブリッジ,株式会社　ブリッジ,北海道札幌市中央区北1条西7丁目1番地　CARP札幌ビル４階,011-219-8250,,,
派01-301144,株式会社　北海電装工業,株式会社　北海電装工業,北海道千歳市長都駅前4丁目8番8号－202,0123-29-6510,,,
派01-301145,株式会社ジョイネット,株式会社ジョイネット,北海道札幌市北区北七条西二丁目6番地　37山京ビル7階,011-738-0100,,,
派01-301146,北海設計　株式会社,北海設計　株式会社,北海道紋別市南が丘町8丁目6番5,0158-24-4324,,,
派01-301147,株式会社　フジ土木設計,株式会社　フジ土木設計,北海道旭川市東三条六丁目4番10号,0166-25-2333,2人,1件,
派01-301148,大和警備保障　株式会社,大和警備保障　株式会社,北海道札幌市中央区北5条西10丁目1番6号,011-210-0773,,,
派01-301149,株式会社　ＡＩＳ北海道　,株式会社　ＡＩＳ北海道,北海道札幌市北区北七条西一丁目1番2号　SE札幌ビル4F,011-707-7555,,,
派01-301151,横井電気　株式会社,横井電気　株式会社,北海道北見市北五条西五丁目7番地,0157-24-3337,4人,5件,自動車運転従事者
派01-301152,栗林機工　株式会社,栗林機工　株式会社,北海道室蘭市寿町三丁目4番2号,0143-44-6001,,,
派01-301155,有限会社　設計スタジオ・アイ,有限会社　設計スタジオ・アイ,北海道釧路郡釧路町若葉5丁目7・8番地,0154-39-2622,3人,3件,施工図の作成・派遣、金物図作成・管理、ハウスクリーニング
派01-301156,ラップサービス　株式会社,ラップサービス　株式会社,北海道札幌市中央区南9条西3丁目2番5号　南九条ビルパークビル406号,011-211-1334,,,
派01-301157,株式会社　コムテック2000,株式会社　コムテック2000,北海道函館市桔梗町379番地14,0138-85-8405,2人,2件,
派01-301158,阿寒共立土建　株式会社,阿寒共立土建　株式会社,北海道釧路市鳥取南六丁目1番18号,0154-51-2711,,,
派01-301160,株式会社　遠別急行運送,株式会社　遠別急行運送,北海道天塩郡遠別町字本町6丁目2番地1,01632-7-2162,0人,0件,
派01-301161,有限会社　玉手鋼建,有限会社　玉手鋼建,北海道富良野市山部南町1番5号,0167-42-2221,0人,0件,
派01-301164,中村興業　株式会社,中村興業　株式会社,北海道標津郡中標津町東32条北1丁目2番地　2階,0153-72-3588,,,
派01-301165,株式会社谷脇組,株式会社　谷脇組,北海道旭川市大雪通4丁目490番地の63,0166-23-2233,0人,0件,施工管理（建築工事）
派01-301167,有限会社　幸工業,有限会社　幸工業,北海道函館市昭和四丁目31番19号,0138-43-2286,3人,2件,工程施工管理、電気工事、溶接工事
派01-301169,幌清　株式会社,幌清　株式会社　本社,北海道室蘭市仲町12番地,0143-44-2309,,,
派01-301170,株式会社　平野建業,株式会社　平野建業,北海道函館市日乃出町2番7号,0138-53-7297,1人,1件,設計業務
派01-301171,株式会社　シーエスアイ,株式会社　シーエスアイ,北海道札幌市白石区平和通15丁目北1番21号　株式会社ＣＥホールディングスビル,011-861-1500,,,
派01-301173,株式会社　アミューズ・ソフトウェア,株式会社　アミューズ・ソフトウェア,北海道札幌市東区北36条東12丁目2番27号　ふじよしBL201,011-826-6295,,,
派01-301174,株式会社　エコフィールド,株式会社　エコフィールド,北海道札幌市東区北7条東4丁目15-36　グランヒルズ1階2号室,011-788-8655,,,
派01-301175,有限会社　鷹雄エンジニアリング,有限会社　鷹雄エンジニアリング　,北海道室蘭市高砂町3丁目15番4号,0143-47-1081,,,
派01-301177,社会医療法人　耳鼻咽喉科麻生,社会医療法人　耳鼻咽喉科麻生病院,北海道札幌市東区北40条東1丁目1-7,011-731-4133,,2件,
派01-301178,小樽倉庫株式会社,小樽倉庫株式会社,北海道小樽市港町5番3号,0134-23-8161,7人,1件,商品管理作業、フォークリフト作業、ピッキング作業
派01-301179,鹿住工務店　株式会社,鹿住工務店　株式会社,北海道札幌市中央区北七条西十五丁目28番地,011-611-3221,,,
派01-301180,株式会社　松本組,株式会社　松本組,北海道函館市吉川町4番30号,0138-42-7131,,,
派01-301181,株式会社　北海道丸和ロジスティクス,株式会社　北海道丸和ロジスティクス　石狩物流センター,北海道石狩市新港南2丁目718番地2,0133-64-3001,,,
派01-301182,ボスコ・アソシエーション　株式会社,ボスコ・アソシエーション　株式会社,北海道札幌市中央区南一条西四丁目13番地　日之出ビル4階,011-231-2800,14人,3件,
派01-301183,株式会社　日本エム・エス・ディー,株式会社　日本エム・エス・ディー,北海道札幌市中央区南一条西十丁目4番地168　ほくえいビル3F,011-208-5844,,,
派01-301185,タートルロード　株式会社,タートルロード　株式会社,北海道札幌市北区篠路5条7丁目2番39号,011-374-6441,,,
派01-301188,ビー・エス・イノベーション　株式会社,ビー・エス・イノベーション　株式会社,北海道札幌市豊平区中の島1条10丁目4番15号,011-598-0900,,,
派01-301189,有限会社　データーサービス,有限会社　データーサービス,北海道室蘭市港南町2丁目13番16号,0143-22-2575,,,
派01-301190,株式会社　大徳機設工業,株式会社　大徳機設工業,北海道札幌市東区東苗穂十四条三丁目29番8号,011-776-7608,,,
派01-301191,株式会社　テクタス,株式会社　テクタス,北海道札幌市白石区菊水2条3丁目1番10号,011-831-0411,1人,2件,プログラマー、システムエンジニア
派01-301192,小針土建　株式会社,小針土建　株式会社,北海道標津郡中標津町緑町南2丁目1番地1,0153-72-3265,,,
派01-301193,北央舗道　株式会社,北央舗道　株式会社,北海道標津郡中標津町緑町南2丁目1番地1,0153-73-5174,,,
派01-301194,株式会社　ユニオン,株式会社　ユニオン,北海道標津郡中標津町緑町南2丁目1番地1,0153-73-4081,1人,1件,
派01-301196,株式会社　環商事,株式会社　環商事,北海道美唄市東6条北5丁目3番1号,01266-2-6621,0人,0件,
派01-301197,株式会社　ニッコン北物,株式会社　ニッコン北物　江別営業所,北海道江別市角山68番地14,011-384-8911,,,
派01-301197,株式会社　ニッコン北物,株式会社　ニッコン北物　苫小牧営業所,北海道苫小牧市柏原6-304,0144-55-0684,,,
派01-301198,道興建設　株式会社,道興建設　株式会社,北海道札幌市南区川沿17条2丁目2番8号,011-573-2322,,,
派01-301199,株式会社　北海道ダイケン,株式会社　北海道ダイケン,北海道札幌市中央区北一条西二丁目1番地,011-214-3577,,,
派01-301201,株式会社　マック設備計画,株式会社　マック設備計画　北郷事務所,北海道札幌市白石区北郷3条12丁目1-30　高島ビル2階,011-874-8311,6人,1件,
派01-301202,北海道ＮＳソリューションズ　株式会社,北海道ＮＳソリューションズ　株式会社,北海道室蘭市みゆき町二丁目13番1号　輪西多目的センター１Ｆ,0143-45-3220,1人,1件,
派01-301203,株式会社　モロオ,株式会社　モロオ　医薬管理室,北海道札幌市中央区北三条西十五丁目1番地の50,011-618-2376,6人,29件,調剤業務
派01-301206,一般社団法人　池田町いきがい事業団,一般社団法人　池田町いきがい事業団,北海道中川郡池田町字利別東町18番地1,015-572-3713,,,
派01-301207,牧野建設　株式会社,牧野建設　株式会社,北海道標津郡中標津町南中5番地12,0153-73-1211,,,
派01-301208,株式会社　厚信電機,株式会社　厚信電機,北海道勇払郡厚真町本町2番地,0145-27-2001,,,
派01-301209,ＢＳ豊平テック　株式会社, ＢＳ豊平テック　株式会社,北海道札幌市西区発寒十条十三丁目1番1号,011-661-7849,,,
派01-301210,坂口　眞一,人財派遣　KOSEI（坂口　眞一）,北海道函館市本町10番9号　藤ビル3階,090-1647-6161,1人,1件,
派01-301211,有限会社　佐々木騰興業,有限会社　佐々木騰興業,北海道苫小牧市勇払5番地11,0144-56-0607,,,
派01-301212,有限会社　旭永設備企画,有限会社　旭永設備企画,北海道札幌市東区北46条東3丁目2番3号,011-792-0685,,,
派01-301213,株式会社システムグレイ,株式会社システムグレイ　中央事務所,北海道札幌市中央区南2条西12丁目323番地　212ビル4Ｆ,011-231-8281,,,
派01-301214,辻谷建設　株式会社,辻谷建設　株式会社,北海道川上郡弟子屈町湯の島2丁目6番15号,015-482-2177,,,
派01-301215,株式会社　西村組,株式会社　西村組　本社,北海道紋別郡湧別町栄町133番地の1,01586-5-2111,,,
派01-301217,遠軽通運株式会社,遠軽通運株式会社,北海道紋別郡遠軽町学田2丁目9番地1,0158-42-3111,27人,1件,
派01-301219,大日プラント　株式会社,大日プラント　株式会社　室蘭事業所,北海道室蘭市みゆき町2丁目6番15号,0143-83-4221,1人,4件,
派01-301220,株式会社　ネットワークソフトアソシエイツ,株式会社　ネットワークソフトアソシエイツ,北海道札幌市中央区北1条西9丁目3-1 南大通ビルN1 6F,011-251-7211,9人,7件,SEの派遣事業、ソフトの受託開発
派01-301222,株式会社　協同鋼管,株式会社　協同鋼管　日本製鋼所Ｍ＆Ｅ　株式会社　室蘭製作所構内事業所,北海道室蘭市茶津町4番地,0143-24-7330,,,
派01-301223,株式会社　モンエクスプレス,株式会社　モンエクスプレス　本社,北海道札幌市豊平区平岸六条十七丁目1番2号　ロイヤルレインボー平岸C棟1階,011-811-9769,,,
派01-301225,株式会社　ジョブサポート,株式会社　ジョブサポート,北海道室蘭市東町二丁目6番7号　Ｈ．Ｙａｍａｊｉ　Ｂｕｉｌｌ ,0143-41-6080,,,
派01-301226,三好梱包商事　有限会社,三好梱包商事　有限会社,北海道札幌市東区北三十四条東二十丁目5番11号,011-787-3443,19人,2件,機械組立て、溶接工、塗装工
派01-301227,株式会社　カネトミ北勝興業,株式会社　カネトミ北勝興業　銭函工場,北海道小樽市銭函3丁目521番地10,0134-61-3311,,,溶接工
派01-301228,有限会社　たけむら,有限会社　たけむら,北海道河西郡芽室町東芽室基線19-24,0155-62-6452,2人,1件,
派01-301229,自動車輸送興業　株式会社,自動車輸送興業　株式会社,北海道札幌市白石区菊水上町3条4丁目7番2号,011-821-3171,25人,12件,
派01-301230,豊浦建設工業　株式会社,豊浦建設工業　株式会社,北海道虻田郡豊浦町字旭町26番地の1,0142-83-2381,,,
派01-301231,コーセイ産業 株式会社,コーセイ産業 株式会社,北海道室蘭市輪西町一丁目19番4号,0143-43-6010,,,
派01-301232,大晶工業　株式会社,大晶工業　株式会社,北海道白老郡白老町字北吉原181番地　日本製紙株式会社白老工場構内  ,0144-83-3647,,,
派01-301233,福中建設　株式会社,福中建設　株式会社,北海道岩見沢市岡山町18番地15,0126-22-2555,,,
派01-301236,合同会社　吉田建設,合同会社　吉田建設,北海道苫前郡苫前町字古丹別177番地の1,0164-65-3040,,,
派01-301237,株式会社　エゾイズム,株式会社　エゾイズム,北海道札幌市東区伏古十二条五丁目8番26号,011-788-6533,,,
派01-301238,有限会社アイコス,有限会社　アイコス　,北海道札幌市中央区南8条西7丁目1036番地1　ダイアパレス中島公園701号,011-511-3980,,,
派01-301239,株式会社　道研設備,株式会社　道研設備,北海道札幌市東区丘珠町864番地,011-783-7964,1人,1件,
派01-301240,株式会社　ロジサポート　,株式会社　ロジサポート,北海道札幌市北区北二十六条西三丁目2番1号,011-708-6222,13人,5件,倉庫管理業務
派01-301241,株式会社　和幸,株式会社　和幸,北海道札幌市北区北二十条西四丁目2番2号　晃榮ビル1階,011-717-0416,,,
派01-301242,株式会社　札幌サン物流産業,株式会社　札幌サン物流産業,北海道空知郡南幌町南10線西14番地649-20,011-378-2777,,,
派01-301243,アビリティネットワーク　株式会社,アビリティネットワーク株式会社,北海道帯広市西五条南五丁目4番地10　第1マナカビル1F,0155-67-8247,,,
派01-301244,タイヨウ　株式会社,タイヨウ株式会社,北海道札幌市厚別区厚別中央3条2丁目1番41号,011-891-1101,,,
派01-301244,タイヨウ　株式会社,タイヨウ株式会社　運送事業本部　帯広営業所,北海道河西郡芽室町東芽室北1線18番19,0155-62-6633,,,
派01-301246,株式会社　中央ネームプレート製作所,株式会社　中央ネームプレート製作所,北海道札幌市東区北三十九条東一丁目2番17号,011-752-2161,1人,1件,
派01-301247,アイ・リンク　株式会社,アイ・リンク　株式会社,北海道札幌市白石区流通センター一丁目5番1号,011-796-6405,1人,1件,電気工事、電気通信工事、基盤整備工事
派01-301249,株式会社　エス・トラスト,株式会社　エス・トラスト,北海道札幌市中央区南八条西十三丁目4番8号,011-206-7911,,,
派01-301250,有限会社　伏古商事,有限会社　伏古商事,北海道札幌市東区北28条東2丁目2番20号　しんふぉにー28東棟1階,011-722-8800,,,
派01-301251,錦産業株式会社,錦産業株式会社,北海道稚内市朝日三丁目2185番14,0162-32-3360,,,
派01-301253,株式会社　創建,株式会社　創建,北海道釧路市星が浦大通1丁目1番12号,0154-64-9575,6人,3件,搬出入作業
派01-301254,合同会社　グローバルアシスト,合同会社　グローバルアシスト,北海道札幌市北区北二十七条西三丁目1番8号,011-717-6200,,,
派01-301256,株式会社　ノア・ビルサービス,株式会社　ノア・ビルサービス,北海道帯広市西11条南18丁目1番地　ノアビルディング2階,0155-23-2121,4人,,清掃業、施設環境整備
派01-301257,株式会社　ウイスト,株式会社　ウイスト,北海道札幌市白石区南郷通六丁目北5番7号 Ｓｂｋ ｂｌｄｇ　3Ｆ,011-866-8888,,,
派01-301258,北日本港湾コンサルタント　株式会社,北日本港湾コンサルタント　株式会社,北海道札幌市中央区南二条東二丁目8番地1　大都ビル2階,011-281-9111,,,
派01-301261,株式会社　アドニス,株式会社　アドニス,北海道札幌市中央区北1条東4丁目8番地1　サッポロファクトリーフロンティア館4階,011-272-5770,,,ソフト開発
派01-301262,株式会社　大野工業マシナリー・プットトゥゲザー,株式会社　大野工業マシナリー・プットトゥゲザー,北海道苫小牧市新明町二丁目7番4号,0144-55-7415,0人,0件,
派01-301263,日吉建設　株式会社,日吉建設　株式会社,北海道札幌市豊平区美園四条二丁目1番5号,011-811-1258,,,
派01-301264,協成建設工業　株式会社,協成建設工業　株式会社,北海道岩内郡岩内町字東山70番地,0135-62-1461,,,
派01-301265,株式会社　宮北鉄工所,株式会社　宮北鉄工所,北海道美唄市東五条北八丁目2番15号,0126-63-3155,0人,0件,
派01-301266,ＤＣエージェンシー　株式会社,ＤＣエージェンシー　株式会社,北海道札幌市西区琴似二条六丁目1番35号　ﾙｰﾍﾞﾃﾞﾝｽ琴似219号室,011-215-4275,4人,1件,
派01-301267,株式会社　フォース,株式会社　フォース,北海道札幌市白石区平和通4丁目北4番3号,011-598-6335,11人,1件,
派01-301268,株式会社　北日本工事測量,株式会社　北日本工事測量,北海道札幌市豊平区平岸5条6丁目1番24号　平岸フレンドビル3階,011-833-4650,,,
派01-301270,協誠建設　株式会社,協誠建設　株式会社,北海道小樽市オタモイ3丁目13番20号,0134-26-2002,2人,1件,
派01-301272,中和石油　株式会社,中和石油　株式会社,北海道札幌市中央区南四条西九丁目1008番地,011-511-1101,,,ホテル客室清掃、店舗販売スタッフ、自動車整備士
派01-301274,株式会社　エヌボシ・ノムラ,株式会社　エヌボシ・ノムラ,北海道函館市金堀町7-17,0138-83-7002,,,
派01-301275,株式会社　ヒューマン＆テクノロジー,株式会社　ヒューマン＆テクノロジー,北海道札幌市中央区北3条西7丁目1番地1の3　ＳＡＫＵＲＡ－Ｎ３,011-206-4216,0人,0件,ソフトウェア開発
派01-301276,株式会社　ＫＳＧ,株式会社　ＫＳＧ,北海道苫小牧市本町1丁目1番4号,0144-33-7761,,,
派01-301277,株式会社　メトリック,株式会社　メトリック,北海道札幌市中央区南一条西六丁目11番地　札幌北辰ビル2階,011-200-2230,,,
派01-301278,株式会社　佐々木組,株式会社　佐々木組,北海道岩内郡岩内町字東山26番地の8,0135-62-1634,,,
派01-301279,東邦コンサルタント　株式会社,東邦コンサルタント　株式会社　本社,北海道釧路市鳥取大通四丁目16番23号,0154-51-6161,0人,0件,
派01-301280,株式会社　アイ・ジー・エス,株式会社　アイ・ジー・エス,北海道札幌市中央区南1条西11丁目1番地301　コンチネンタルWEST.Nビル5F,011-211-0890,,,
派01-301281,株式会社　ノースダイヤル,株式会社　ノースダイヤル　本社,北海道恵庭市有明町六丁目2番13号,0123-21-8686,,,
派01-301284,株式会社　綜合サービス,株式会社　綜合サービス,北海道釧路郡釧路町曙1丁目2番地12,0154-38-3419,,,
派01-301285,株式会社　ラコンテ,株式会社　ラコンテ,北海道釧路市鳥取北六丁目6番21号,0154-53-3836,,,
派01-301287,株式会社　ＯＴｉｓ,株式会社　ＯＴｉｓ,北海道苫小牧市弥生町2丁目3番1号,0144-78-3500,0人,0件,
派01-301288,株式会社　ホリウチ,株式会社　ホリウチ,北海道小樽市錦町17番13号,0134-23-8281,,,
派01-301289,有限会社　リーグラフィ,有限会社　リーグラフィ,北海道札幌市白石区東札幌5条1丁目1番1号　インタークロス・クリエイティブ・センター（札幌市産業振興センター内）3FD,050-5050-2480,,,
派01-301291,北海道三祐　株式会社,北海道三祐　株式会社,北海道札幌市北区屯田6条8丁目9番地12　3階,011-773-5121,0人,0件,施工管理
派01-301292,株式会社　シグナル,株式会社　シグナル,北海道札幌市豊平区豊平四条12丁目2‐3　ＮＴＴ札幌豊平ビル1Ｆ,011-814-3333,,,
派01-301293,株式会社　マイスター,株式会社　マイスター,北海道函館市桔梗町379番地53,0138-34-2377,,,
派01-301294,株式会社　ファミリアワーク,株式会社　ファミリアワーク,北海道帯広市西二条南六丁目20番地7　フレンド2・6　1階,0155-66-4649,,,
派01-301295,株式会社　泰進建設,株式会社　泰進建設,北海道滝川市流通団地三丁目7番31号,0125-22-4355,0人,0件,建設技術者
派01-301296,株式会社　東鵬開発,株式会社　東鵬開発,北海道函館市桔梗一丁目4番17号,0138-46-4488,,,
派01-301297,有限会社　大西工業,有限会社　大西工業,北海道登別市美園町2丁目2番地2,0143-84-6935,,,
派01-301298,株式会社　三沢工務店,株式会社　三沢工務店　本店,北海道札幌市白石区菊水元町八条一丁目13番25号,011-875-6670,,,
派01-301300,東邦交通　株式会社,東邦交通　株式会社,北海道札幌市西区発寒14条11丁目1番15号,011-661-3123,12人,1件,
派01-301303,株式会社　北泉,株式会社　北泉,北海道千歳市泉沢1007番地134,0123-28-2695,,,
派01-301304,株式会社　森川組,株式会社　森川組,北海道函館市海岸町9番23号,0138-41-3126,,,
派01-301307,株式会社　ＣＮＰエンジニアリング,株式会社　ＣＮＰエンジニアリング,北海道札幌市東区北三十九条東一丁目2番17号,011-733-2484,2人,1件,
派01-301309,北海道明治大和倉庫　株式会社,北海道明治大和倉庫　株式会社,北海道札幌市白石区米里二条四丁目5番15号,011-875-8719,,,
派01-301311,株式会社　ＢＡＺＡＬＡコーポレーション,株式会社　ＢＡＺＡＬＡコーポレーション,北海道札幌市中央区北五条西十三丁目1番116号　ＹＮ北5条ビル5Ｆ　,011-206-0780,0人,0件,
派01-301312,アメニティマイスター　株式会社,アメニティマイスター　株式会社,北海道札幌市西区発寒10条6丁目3番1号,011-624-7165,,,
派01-301313,セントフィールド　株式会社,セントフィールド　株式会社,北海道札幌市豊平区美園3条6丁目1番7号　ぺルドゥエープス美園1階1号室,011-837-8757,,,
派01-301314,株式会社　ニットー,株式会社　ニットー,北海道札幌市西区琴似4条4丁目1番地18号,011-612-1114,,,
派01-301315,株式会社　札幌物流,株式会社　札幌物流,北海道札幌市中央区南四条東一丁目5番2号,011-233-0075,,,
派01-301317,株式会社　北見コンピューター・ビジネス,株式会社　北見コンピューター・ビジネス　札幌支店,北海道札幌市中央区北1条西8丁目2番地39　ISM札幌大通,011-232-1600,2人,2件,
派01-301318,新生美装興業　株式会社,新生美装興業　株式会社,北海道札幌市東区北23条東1丁目8番21号,011-752-0438,,,
派01-301319,株式会社　日栄車輛サービス,株式会社　日栄車輛サービス,北海道札幌市北区篠路町拓北20番地7,011-774-0665,,,
